
=========================================
FILE: DualSense Controller pos.png
Resolution: 1467 x 816
  Cluster 53: RawCenter=(720.5, 324.5), ScaledCenter=(206.3, 103.4), Size=89, Color=[236, 69, 76]
  Cluster 54: RawCenter=(726.0, 290.0), ScaledCenter=(207.9, 92.4), Size=277, Color=[236, 45, 53]
  Cluster 55: RawCenter=(729.0, 609.5), ScaledCenter=(208.7, 194.2), Size=46, Color=[184, 27, 34]
  Cluster 56: RawCenter=(735.0, 631.0), ScaledCenter=(210.4, 201.1), Size=277, Color=[222, 31, 39]
  Cluster 57: RawCenter=(738.7, 323.3), ScaledCenter=(211.5, 103.0), Size=66, Color=[236, 68, 75]
  Cluster 58: RawCenter=(739.7, 609.4), ScaledCenter=(211.8, 194.2), Size=85, Color=[182, 27, 34]
  Cluster 59: RawCenter=(750.2, 325.6), ScaledCenter=(214.8, 103.7), Size=74, Color=[236, 77, 83]
  Cluster 60: RawCenter=(753.6, 609.1), ScaledCenter=(215.8, 194.1), Size=92, Color=[186, 27, 34]
  Cluster 61: RawCenter=(764.1, 324.4), ScaledCenter=(218.8, 103.4), Size=84, Color=[236, 74, 80]
  Cluster 62: RawCenter=(772.2, 609.5), ScaledCenter=(221.1, 194.2), Size=97, Color=[179, 27, 34]
  Cluster 63: RawCenter=(785.2, 609.4), ScaledCenter=(224.8, 194.2), Size=77, Color=[192, 27, 34]
  Cluster 64: RawCenter=(799.1, 608.0), ScaledCenter=(228.8, 193.7), Size=64, Color=[183, 27, 34]
  Cluster 65: RawCenter=(811.5, 607.7), ScaledCenter=(232.3, 193.6), Size=58, Color=[196, 27, 34]
  Cluster 66: RawCenter=(824.7, 609.4), ScaledCenter=(236.1, 194.2), Size=85, Color=[182, 27, 34]
  Cluster 67: RawCenter=(838.6, 609.1), ScaledCenter=(240.1, 194.1), Size=92, Color=[186, 27, 34]
  Cluster 68: RawCenter=(857.9, 718.6), ScaledCenter=(245.6, 229.0), Size=93, Color=[237, 27, 35]
  Cluster 69: RawCenter=(871.2, 718.6), ScaledCenter=(249.4, 229.0), Size=72, Color=[237, 27, 35]
  Cluster 70: RawCenter=(899.8, 718.5), ScaledCenter=(257.6, 228.9), Size=89, Color=[236, 27, 35]
  Cluster 71: RawCenter=(909.9, 718.5), ScaledCenter=(260.5, 228.9), Size=48, Color=[237, 27, 35]
  Cluster 72: RawCenter=(919.2, 719.0), ScaledCenter=(263.2, 229.1), Size=75, Color=[237, 27, 35]
  Cluster 73: RawCenter=(933.6, 718.5), ScaledCenter=(267.3, 228.9), Size=89, Color=[237, 27, 35]
  Cluster 74: RawCenter=(947.0, 716.9), ScaledCenter=(271.1, 228.4), Size=66, Color=[237, 27, 35]
  Cluster 75: RawCenter=(964.9, 719.6), ScaledCenter=(276.2, 229.3), Size=79, Color=[237, 27, 35]
  Cluster 76: RawCenter=(976.0, 642.0), ScaledCenter=(279.4, 204.6), Size=277, Color=[221, 29, 37]
  Cluster 77: RawCenter=(978.6, 718.0), ScaledCenter=(280.2, 228.8), Size=96, Color=[237, 27, 35]
  Cluster 78: RawCenter=(996.7, 719.6), ScaledCenter=(285.4, 229.3), Size=127, Color=[237, 27, 35]
  Cluster 79: RawCenter=(1017.2, 718.5), ScaledCenter=(291.2, 228.9), Size=91, Color=[237, 27, 35]
  Cluster 80: RawCenter=(1027.8, 308.9), ScaledCenter=(294.3, 98.4), Size=2237, Color=[43, 70, 141]
  Cluster 81: RawCenter=(1030.2, 719.0), ScaledCenter=(294.9, 229.1), Size=75, Color=[237, 27, 35]
  Cluster 82: RawCenter=(1047.2, 718.7), ScaledCenter=(299.8, 229.0), Size=68, Color=[237, 27, 35]
  Cluster 83: RawCenter=(1058.6, 716.8), ScaledCenter=(303.1, 228.4), Size=59, Color=[237, 27, 35]
  Cluster 84: RawCenter=(1068.0, 718.5), ScaledCenter=(305.8, 228.9), Size=46, Color=[237, 27, 35]
  Cluster 85: RawCenter=(1076.7, 718.7), ScaledCenter=(308.2, 229.0), Size=64, Color=[237, 27, 35]
  Cluster 86: RawCenter=(1090.2, 718.5), ScaledCenter=(312.1, 228.9), Size=99, Color=[237, 27, 35]
  Cluster 87: RawCenter=(1093.0, 287.0), ScaledCenter=(312.9, 91.4), Size=277, Color=[235, 44, 52]
  Cluster 88: RawCenter=(1094.0, 433.0), ScaledCenter=(313.2, 138.0), Size=277, Color=[235, 44, 52]
  Cluster 89: RawCenter=(1109.3, 258.6), ScaledCenter=(317.6, 82.4), Size=85, Color=[228, 73, 79]
  Cluster 90: RawCenter=(1122.0, 257.4), ScaledCenter=(321.2, 82.0), Size=73, Color=[236, 81, 87]
  Cluster 91: RawCenter=(1125.8, 425.6), ScaledCenter=(322.3, 135.6), Size=63, Color=[233, 83, 89]
  Cluster 92: RawCenter=(1134.5, 256.7), ScaledCenter=(324.8, 81.8), Size=58, Color=[236, 67, 74]
  Cluster 93: RawCenter=(1138.3, 426.9), ScaledCenter=(325.9, 136.0), Size=103, Color=[229, 78, 84]
  Cluster 94: RawCenter=(1145.0, 258.5), ScaledCenter=(327.8, 82.4), Size=46, Color=[236, 80, 87]
  Cluster 95: RawCenter=(1151.4, 425.4), ScaledCenter=(329.6, 135.5), Size=81, Color=[236, 78, 84]
  Cluster 96: RawCenter=(1154.8, 258.4), ScaledCenter=(330.6, 82.3), Size=86, Color=[236, 83, 89]
  Cluster 97: RawCenter=(1164.9, 426.6), ScaledCenter=(333.5, 135.9), Size=75, Color=[236, 79, 85]
  Cluster 98: RawCenter=(1169.2, 258.4), ScaledCenter=(334.7, 82.3), Size=95, Color=[236, 82, 88]
  Cluster 99: RawCenter=(1177.8, 425.4), ScaledCenter=(337.2, 135.6), Size=92, Color=[236, 76, 83]
  Cluster 100: RawCenter=(1181.8, 258.6), ScaledCenter=(338.4, 82.4), Size=63, Color=[236, 86, 92]
  Cluster 101: RawCenter=(1187.0, 35.0), ScaledCenter=(339.8, 11.2), Size=277, Color=[219, 27, 35]
  Cluster 102: RawCenter=(1190.1, 425.5), ScaledCenter=(340.7, 135.6), Size=78, Color=[236, 75, 81]
  Cluster 103: RawCenter=(1204.0, 524.0), ScaledCenter=(344.7, 167.0), Size=277, Color=[233, 41, 49]
  Cluster 104: RawCenter=(1206.0, 125.0), ScaledCenter=(345.3, 39.8), Size=277, Color=[219, 27, 35]
  Cluster 105: RawCenter=(1206.8, 54.5), ScaledCenter=(345.5, 17.4), Size=91, Color=[189, 27, 35]
  Cluster 106: RawCenter=(1209.0, 337.0), ScaledCenter=(346.1, 107.4), Size=277, Color=[235, 44, 52]
  Cluster 107: RawCenter=(1219.5, 54.7), ScaledCenter=(349.1, 17.4), Size=66, Color=[182, 27, 34]
  Cluster 108: RawCenter=(1225.8, 144.5), ScaledCenter=(350.9, 46.1), Size=91, Color=[189, 27, 35]
  Cluster 109: RawCenter=(1239.1, 144.7), ScaledCenter=(354.7, 46.1), Size=66, Color=[176, 27, 34]
  Cluster 110: RawCenter=(1246.6, 563.5), ScaledCenter=(356.9, 179.6), Size=78, Color=[236, 79, 85]
  Cluster 111: RawCenter=(1247.5, 321.7), ScaledCenter=(357.1, 102.5), Size=58, Color=[231, 62, 69]
  Cluster 112: RawCenter=(1260.8, 323.4), ScaledCenter=(361.0, 103.1), Size=92, Color=[232, 73, 79]
  Cluster 113: RawCenter=(1277.1, 324.1), ScaledCenter=(365.6, 103.3), Size=119, Color=[236, 77, 84]
  Cluster 114: RawCenter=(1294.6, 323.1), ScaledCenter=(370.6, 102.9), Size=92, Color=[236, 77, 84]
  Cluster 115: RawCenter=(1308.2, 323.9), ScaledCenter=(374.5, 103.2), Size=71, Color=[236, 78, 84]
  Cluster 116: RawCenter=(1319.0, 429.0), ScaledCenter=(377.6, 136.7), Size=277, Color=[235, 44, 52]
